News_Id,Title,Description
30,"Protesters gatecrash Aacta awards red carpet, chanting 'end the sausage party'","Demonstration to highlight gender inequality in the film and television industries targets annual screen awards

Protesters dressed as sausages have caused a stir at the Aactas, storming the red carpet to highlight the male domination of the film and television industries."
31,Mark Wahlberg & Peter Berg On Making ‘Patriots Day’ & The Film’s Message,
32,Shailene Woodley and Baltasar Kormakur Team on Survival Tale ‘Adrift’,"Shailene Woodley is attached to star in the new package “Adrift” with “Everest” helmer Baltasar Kormakur attached to direct.

Aaron and Jordan Kandell penned the spec, which is likely to be one of the last big packages to sell before the holiday break. The project will be taken to studios shortly and a bidding war should follow."
33,The Leftovers' Third and (Sigh... ) Final Season to Bow in April 2017,"HBO is breaking its silence with regard to The Leftovers‘ return date: The acclaimed HBO drama will launch its eight-episode third and final season in April.

Exec producers Damon Lindelof and Tom Perrotta confirmed the news on Facebook Tuesday, with the latter putting a Guilty Remnant spin on the announcement."
34,"Ian Somerhalder on His Producing Plans, ‘The Vampire Diaries’ Finale & Nina Dobrev’s Return","“I’ve never been busier in my life,” says Ian Somerhalder. Even though his hit series “The Vampire Diaries” is wrapping its run after eight seasons, he’s making a plan for his future as a producer, with a new deal with Warner Bros TV with his wife, Nikki Reed. And then there’s his passion project: his commitment to environmental causes, through his eponymous foundation."
35,"2017 Grammy Awards: Beyonce, Adele, Justin Bieber and More Land Nominations","The 59th Grammy Awards is sure to be a star-studded event.

On Tuesday's CBS This Morning, Meghan Trainor -- who won the Grammy for Best New Artist earlier this year -- announced live the nominees for Best New Artist, Record Of The Year, Song Of The Year and Album Of The Year."
36,Will Smith Surprised an Unsuspecting Fan -- and Then Borrowed $10 From Him,"It pays to be Will Smith… literally! The Suicide Squad actor, 48, opened up on Jimmy Kimmel Live! on Monday night about a funny fan experience he recently had.

Smith recalled an incident when he was driving only to discover he was out of gas, 30 minutes from home, and without his wallet.

“I looked over on the other side and I saw a dude. He was, like, 36, and I was like, ‘That dude is a Fresh Prince fan.’ You can spot ‘em!” Smith said, laughing. “So I kinda rolled the window down and after a couple of minutes, he was like, ‘Will?’”"
37,Florence Henderson's Death Certificate Details the Actress' History of Heart Disease,"Long before her death from a heart attack two weeks ago, Florence Henderson had been battling serious heart issues, according to her official death certificate.

The document, obtained by Et, reveals that the Brady Bunch star had been suffering from coronary artery disease for 10 years and atrial fibrillation -- also referred to as an irregular heartbeat -- for the past five years."
38,Jimmy Kimmel and Wife Molly McNearney Expecting Baby No. 2,"Congrats are in order for Jimmy Kimmel and his wife, producer Molly McNearney, who are expecting their second child together!

The late night host revealed the happy news on Jimmy Kimmel Live! on Monday, the same day it was announced that he would be hosting this year’s Academy Awards!"
39,Amanda Seyfried Shows Off Her Tiny Baby Bump During a Casual Stroll,"Amanda Seyfried appeared to be in good spirits while running errands in Santa Monica, CA, on Tuesday afternoon. The actress, who is pregnant with her first child with fiancé Thomas Sadoski, kept things casual in a striped tee and black leggings and talked on her cell phone as she walked around town. Amanda first revealed her pregnancy at a press launch for Givenchy last week, and while neither Amanda nor the actor have publicly addressed the news, they were spotted out on a stroll with Amanda's dog, Finn, in NYC just days after."
40,Oprah Winfrey Hilariously Dissed Bff Gayle King Over Her On-Air Look,"It’s hard to imagine Oprah Winfrey hating many things in life, but unfortunately for Gayle King, her necklace is one of them. The Big O was not a fan of the bold accessory her Bff wore on Tuesday’s “CBS This Morning”, and according to King, sent a message to her assistant complaining about the fashion"
